codec,image_id,error_type,error_rate,seed,bpp,psnr,ssim,ms_ssim,lpips,decode_failed
JPEG2000,flower,random,5.0,235,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,10.0,231,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,10.0,232,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,10.0,233,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,10.0,234,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,flower,random,10.0,235,0.12009876543209877,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,0.0,231,0.11956155477592119,19.553768157958984,0.4258863925933838,0.8207551836967468,0.6729493737220764,False
JPEG2000,house,random,0.0,232,0.11956155477592119,19.553768157958984,0.4258863925933838,0.8207551836967468,0.6729493737220764,False
JPEG2000,house,random,0.0,233,0.11956155477592119,19.553768157958984,0.4258863925933838,0.8207551836967468,0.6729493737220764,False
JPEG2000,house,random,0.0,234,0.11956155477592119,19.553768157958984,0.4258863925933838,0.8207551836967468,0.6729493737220764,False
JPEG2000,house,random,0.0,235,0.11956155477592119,19.553768157958984,0.4258863925933838,0.8207551836967468,0.6729493737220764,False
JPEG2000,house,random,0.1,231,0.11956155477592119,19.00640106201172,0.3959610164165497,0.7911000847816467,0.675352931022644,False
JPEG2000,house,random,0.1,232,0.11956155477592119,16.890647888183594,0.3425939083099365,0.6327293515205383,0.7474979162216187,False
JPEG2000,house,random,0.1,233,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,0.1,234,0.11956155477592119,18.317398071289062,0.3608865439891815,0.7227901220321655,0.714441180229187,False
JPEG2000,house,random,0.1,235,0.11956155477592119,11.633256912231445,0.3019365668296814,0.5791969299316406,0.7834516763687134,False
JPEG2000,house,random,0.5,231,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,0.5,232,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,0.5,233,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,0.5,234,0.11956155477592119,4.763333320617676,0.00020955967193003744,0.03602220118045807,1.069591999053955,False
JPEG2000,house,random,0.5,235,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,1.0,231,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,1.0,232,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,1.0,233,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,1.0,234,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,1.0,235,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,2.0,231,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,2.0,232,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,2.0,233,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,2.0,234,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,2.0,235,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,5.0,231,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,5.0,232,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,5.0,233,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,5.0,234,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,5.0,235,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,10.0,231,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,10.0,232,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,10.0,233,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,10.0,234,0.11956155477592119,0.0,0.0,0.0,1.0,True
JPEG2000,house,random,10.0,235,0.11956155477592119,0.0,0.0,0.0,1.0,True
